15.90843	476.88674
16.59337	426.89192
17.40062	401.13701
19.02736	359.47465
19.57776	342.80971
20.38502	317.81229
21.87722	275.39244
23.10033	250.39502
24.32344	242.06255
25.95018	225.39761
27.30784	216.30764
27.71147	216.30764
29.35044	207.97517
30.97718	207.97517
31.91898	207.97517
33.82703	207.97517
35.18469	207.97517
37.61868	207.97517
39.24542	199.6427
40.73762	191.31023
41.55711	191.31023
42.51113	191.31023
43.45293	191.31023
44.00333	182.97776
45.21421	182.97776
46.57187	174.64529
48.19861	166.31281
